Country,Name,Artist,Listeners,Longitude,Latitude,longitude_offset,latitude_offset
Ukraine,Chop Suey!,System of a Down,2359479,48.3794,31.1656,49.93473346467398,32.124155903802865
Ukraine,In the End,Linkin Park,2311704,48.3794,31.1656,47.78930867886773,29.22533346450889
Ukraine,Do I Wanna Know?,Arctic Monkeys,2128754,48.3794,31.1656,46.48498774970953,31.669586276041176
Ukraine,Numb,Linkin Park,2126574,48.3794,31.1656,49.95479991818493,30.53539583183741
Ukraine,Californication,Red Hot Chili Peppers,2364578,48.3794,31.1656,46.748290239963524,32.129899670343285
Ukraine,Toxicity,System of a Down,1807843,48.3794,31.1656,47.83184603755559,29.278523449657794
Ukraine,Come as You Are,Nirvana,2829904,48.3794,31.1656,48.99738615698078,30.332506871982975
Poland,Do I Wanna Know?,Arctic Monkeys,2128754,51.9194,19.1451,50.11099710173547,19.54529274784727
Poland,Seven Nation Army,The White Stripes,2343189,51.9194,19.1451,53.09687196873256,17.23917152649578
Poland,Smells Like Teen Spirit,Nirvana,3206072,51.9194,19.1451,53.74728698804597,19.692905214218584
Poland,Chop Suey!,System of a Down,2359479,51.9194,19.1451,53.81116521176407,19.738490347267273
Poland,Under the Bridge,Red Hot Chili Peppers,2211851,51.9194,19.1451,51.315095382380235,19.06217885116692
Poland,Africa,Toto,1647599,51.9194,19.1451,49.96485767408505,20.9446974467307
Poland,Sex on Fire,Kings of Leon,2169667,51.9194,19.1451,51.71043633852737,18.26450057707106
Poland,Californication,Red Hot Chili Peppers,2364578,51.9194,19.1451,52.73109434541028,20.705884880278088
Poland,Come as You Are,Nirvana,2829904,51.9194,19.1451,53.091113897283016,20.680203904023433
Poland,Take on Me,a-ha,2148860,51.9194,19.1451,52.37724947219348,17.339360728062687
Netherlands,Africa,Toto,1647599,52.1326,5.2913,50.64589520197567,3.7451007752183334
Netherlands,Sultans of Swing,Dire Straits,1522259,52.1326,5.2913,53.66234855769604,4.7892598111491465
Netherlands,Smells Like Teen Spirit,Nirvana,3206072,52.1326,5.2913,53.10095252863467,6.378761707312661
Netherlands,Take on Me,a-ha,2148860,52.1326,5.2913,51.18140672943499,3.309218282669365
