Country,Name,Artist,Listeners,Longitude,Latitude
Belgium,Creep,Radiohead,2870305,50.5039,4.4699
Belgium,Come as You Are,Nirvana,2829904,50.5039,4.4699
Belgium,Teardrop,Massive Attack,1600282,50.5039,4.4699
Belgium,Karma Police,Radiohead,2466252,50.5039,4.4699
Belgium,Under the Bridge,Red Hot Chili Peppers,2211851,50.5039,4.4699
Belgium,Take on Me,a-ha,2148860,50.5039,4.4699
China,Hello,Adele,820388,35.8617,104.1954
China,Yellow,Coldplay,2642867,35.8617,104.1954
China,Viva la Vida,Coldplay,2598238,35.8617,104.1954
China,Someone Like You,Adele,1689461,35.8617,104.1954
China,Shape of You,Ed Sheeran,951830,35.8617,104.1954
China,Rolling in the Deep,Adele,2083061,35.8617,104.1954
China,Blank Space,Taylor Swift,1365712,35.8617,104.1954
China,Can't Feel My Face,The Weeknd,1322599,35.8617,104.1954
China,When We Were Young,Adele,744590,35.8617,104.1954
China,Send My Love (To Your New Lover),Adele,684622,35.8617,104.1954
India,Yellow,Coldplay,2642867,20.5937,78.9629
India,The Scientist,Coldplay,2306951,20.5937,78.9629
India,Wish You Were Here,Pink Floyd,1638667,20.5937,78.9629
India,In the End,Linkin Park,2311704,20.5937,78.9629
India,Comfortably Numb,Pink Floyd,1269582,20.5937,78.9629
India,Smells Like Teen Spirit,Nirvana,3206072,20.5937,78.9629
India,Sweet Child o' Mine,Guns N' Roses,2065128,20.5937,78.9629
India,Shape of You,Ed Sheeran,951830,20.5937,78.9629
India,Numb,Linkin Park,2126574,20.5937,78.9629
India,Fix You,Coldplay,2063808,20.5937,78.9629
Japan,ロビンソン,スピッツ,25556,36.2048,138.2529
Japan,新宝島,サカナクション,16911,36.2048,138.2529
Japan,STAY TUNE,Suchmos,35943,36.2048,138.2529
Japan,リライト,ASIAN KUNG-FU GENERATION,88062,36.2048,138.2529
Japan,花束を君に,宇多田ヒカル,14481,36.2048,138.2529
Japan,チェリー,スピッツ,23393,36.2048,138.2529
Japan,道,宇多田ヒカル,13576,36.2048,138.2529
Japan,Smells Like Teen Spirit,Nirvana,3206072,36.2048,138.2529
Japan,First Love,宇多田ヒカル,80330,36.2048,138.2529
Japan,Bohemian Rhapsody,Queen,1839221,36.2048,138.2529
Indonesia,Yellow,Coldplay,2642867,-0.7893,113.9213
Indonesia,The Scientist,Coldplay,2306951,-0.7893,113.9213
Indonesia,Somewhere Only We Know,Keane,1818045,-0.7893,113.9213
Indonesia,Fix You,Coldplay,2063808,-0.7893,113.9213
Indonesia,Creep,Radiohead,2870305,-0.7893,113.9213
Indonesia,Mr. Brightside,The Killers,3072882,-0.7893,113.9213
Indonesia,Untitled,MALIQ & D'Essentials,20776,-0.7893,113.9213
Indonesia,Photograph,Ed Sheeran,896998,-0.7893,113.9213
Indonesia,Kiss Me,Sixpence None the Richer,1334431,-0.7893,113.9213
Indonesia,Dan...,Sheila On 7,23037,-0.7893,113.9213
Saudi Arabia,Hello,Adele,820388,23.8859,45.0792
Saudi Arabia,Can't Feel My Face,The Weeknd,1322599,23.8859,45.0792
Saudi Arabia,Cheap Thrills,Sia,735624,23.8859,45.0792
Saudi Arabia,The Scientist,Coldplay,2306951,23.8859,45.0792
Saudi Arabia,Chandelier,Sia,1111682,23.8859,45.0792
Saudi Arabia,Shape of You,Ed Sheeran,951830,23.8859,45.0792
Saudi Arabia,Viva la Vida,Coldplay,2598238,23.8859,45.0792
Saudi Arabia,Fix You,Coldplay,2063808,23.8859,45.0792
Saudi Arabia,Mr. Brightside,The Killers,3072882,23.8859,45.0792
Saudi Arabia,Yellow,Coldplay,2642867,23.8859,45.0792
Turkey,Do I Wanna Know?,Arctic Monkeys,2128754,38.9637,35.2433
Turkey,Bir Derdim Var,Mor ve Ötesi,72143,38.9637,35.2433
Turkey,Creep,Radiohead,2870305,38.9637,35.2433
Turkey,Karma Police,Radiohead,2466252,38.9637,35.2433
Turkey,Teardrop,Massive Attack,1600282,38.9637,35.2433
Turkey,The Less I Know the Better,Tame Impala,1820269,38.9637,35.2433
Turkey,Cambaz,Mor ve Ötesi,56551,38.9637,35.2433
Turkey,Roads,Portishead,1045349,38.9637,35.2433
Turkey,Seven Nation Army,The White Stripes,2343189,38.9637,35.2433
Turkey,Take Me to Church,Hozier,1635024,38.9637,35.2433
