Country,Longitude,Latitude,Artist,Listeners
Japan,36.2048,138.2529,Radiohead,6589277
Japan,36.2048,138.2529,サカナクション,63307
Japan,36.2048,138.2529,ASIAN KUNG-FU GENERATION,513920
Japan,36.2048,138.2529,くるり,82778
Japan,36.2048,138.2529,Queen,5891543
Indonesia,-0.7893,113.9213,Coldplay,7483430
Indonesia,-0.7893,113.9213,Maroon 5,5305919
Indonesia,-0.7893,113.9213,Ed Sheeran,3323699
Indonesia,-0.7893,113.9213,Adele,4574218
Indonesia,-0.7893,113.9213,Radiohead,6589277
Indonesia,-0.7893,113.9213,John Mayer,3229430
Indonesia,-0.7893,113.9213,Oasis,4745016
Indonesia,-0.7893,113.9213,The Beatles,5334045
Indonesia,-0.7893,113.9213,Bruno Mars,3930085
Indonesia,-0.7893,113.9213,Arctic Monkeys,5680270
Saudi Arabia,23.8859,45.0792,Coldplay,7483430
Saudi Arabia,23.8859,45.0792,Adele,4574218
Saudi Arabia,23.8859,45.0792,The Weeknd,3979631
Saudi Arabia,23.8859,45.0792,Ed Sheeran,3323699
Saudi Arabia,23.8859,45.0792,Rihanna,6777743
Saudi Arabia,23.8859,45.0792,Sia,3515677
Saudi Arabia,23.8859,45.0792,Lana Del Rey,4089352
Saudi Arabia,23.8859,45.0792,Drake,5588059
Saudi Arabia,23.8859,45.0792,Maroon 5,5305919
Saudi Arabia,23.8859,45.0792,Radiohead,6589277
Turkey,38.9637,35.2433,Radiohead,6589277
Turkey,38.9637,35.2433,Coldplay,7483430
Turkey,38.9637,35.2433,Queen,5891543
Turkey,38.9637,35.2433,Pink Floyd,4426284
Turkey,38.9637,35.2433,Daft Punk,5226051
Turkey,38.9637,35.2433,Sia,3515677
Turkey,38.9637,35.2433,Arctic Monkeys,5680270
Turkey,38.9637,35.2433,The Weeknd,3979631
Turkey,38.9637,35.2433,David Bowie,4621259
Turkey,38.9637,35.2433,Red Hot Chili Peppers,6036073
Thailand,15.87,100.9925,Coldplay,7483430
Thailand,15.87,100.9925,Ed Sheeran,3323699
Thailand,15.87,100.9925,Maroon 5,5305919
Thailand,15.87,100.9925,Adele,4574218
Thailand,15.87,100.9925,The Weeknd,3979631
Thailand,15.87,100.9925,Taylor Swift,4689314
Thailand,15.87,100.9925,Radiohead,6589277
Thailand,15.87,100.9925,Calvin Harris,3970548
Thailand,15.87,100.9925,Sia,3515677
Thailand,15.87,100.9925,Sam Smith,2461797
Malaysia,4.2105,101.9758,Coldplay,7483430
Malaysia,4.2105,101.9758,Ed Sheeran,3323699
Malaysia,4.2105,101.9758,Maroon 5,5305919
Malaysia,4.2105,101.9758,The Weeknd,3979631
Malaysia,4.2105,101.9758,Adele,4574218
Malaysia,4.2105,101.9758,Rihanna,6777743
Malaysia,4.2105,101.9758,Radiohead,6589277
Malaysia,4.2105,101.9758,Sam Smith,2461797
Malaysia,4.2105,101.9758,Justin Bieber,3545511
Malaysia,4.2105,101.9758,Calvin Harris,3970548
United States,37.0902,-95.7129,Radiohead,6589277
United States,37.0902,-95.7129,David Bowie,4621259
United States,37.0902,-95.7129,The Beatles,5334045
United States,37.0902,-95.7129,The Weeknd,3979631
United States,37.0902,-95.7129,Kanye West,6643150
United States,37.0902,-95.7129,Drake,5588059
United States,37.0902,-95.7129,Fleetwood Mac,3704944
United States,37.0902,-95.7129,Kendrick Lamar,3714943
United States,37.0902,-95.7129,Queen,5891543
United States,37.0902,-95.7129,Weezer,4348383
Canada,56.1304,-106.3468,Radiohead,6589277
Canada,56.1304,-106.3468,The Weeknd,3979631
Canada,56.1304,-106.3468,David Bowie,4621259
Canada,56.1304,-106.3468,The Beatles,5334045
Canada,56.1304,-106.3468,Drake,5588059
Canada,56.1304,-106.3468,Coldplay,7483430
Canada,56.1304,-106.3468,Kanye West,6643150
Canada,56.1304,-106.3468,Daft Punk,5226051
Canada,56.1304,-106.3468,Queen,5891543
Canada,56.1304,-106.3468,Fleetwood Mac,3704944
Mexico,23.6345,-102.5528,Radiohead,6589277
Mexico,23.6345,-102.5528,Coldplay,7483430
Mexico,23.6345,-102.5528,Daft Punk,5226051
Mexico,23.6345,-102.5528,Queen,5891543
Mexico,23.6345,-102.5528,Gorillaz,5427092
Mexico,23.6345,-102.5528,David Bowie,4621259
Mexico,23.6345,-102.5528,Café Tacvba,523193
Mexico,23.6345,-102.5528,The Beatles,5334045
Mexico,23.6345,-102.5528,Arctic Monkeys,5680270
Mexico,23.6345,-102.5528,The Strokes,4706672
Guatemala,15.7835,-90.2308,Coldplay,7483430
Guatemala,15.7835,-90.2308,Radiohead,6589277
Guatemala,15.7835,-90.2308,Queen,5891543
Guatemala,15.7835,-90.2308,Daft Punk,5226051
Guatemala,15.7835,-90.2308,Red Hot Chili Peppers,6036073
Guatemala,15.7835,-90.2308,Nirvana,6095792
Guatemala,15.7835,-90.2308,The Weeknd,3979631
Guatemala,15.7835,-90.2308,The Beatles,5334045
Guatemala,15.7835,-90.2308,Gorillaz,5427092
Guatemala,15.7835,-90.2308,Guns N' Roses,4333804
Honduras,15.2,-86.2419,Coldplay,7483430
Honduras,15.2,-86.2419,Radiohead,6589277
Honduras,15.2,-86.2419,Queen,5891543
Honduras,15.2,-86.2419,Soda Stereo,541217
Honduras,15.2,-86.2419,The Weeknd,3979631
Honduras,15.2,-86.2419,Gorillaz,5427092
Honduras,15.2,-86.2419,Daft Punk,5226051
Honduras,15.2,-86.2419,Calvin Harris,3970548
Honduras,15.2,-86.2419,The Beatles,5334045
Honduras,15.2,-86.2419,Pink Floyd,4426284
Nicaragua,12.8654,-85.2072,Coldplay,7483430
Nicaragua,12.8654,-85.2072,Queen,5891543
Nicaragua,12.8654,-85.2072,Shakira,3850339
Nicaragua,12.8654,-85.2072,Rihanna,6777743
Nicaragua,12.8654,-85.2072,The Weeknd,3979631
Nicaragua,12.8654,-85.2072,Radiohead,6589277
